Name,kW,pf,kVA
lub_9021,45.0,0.9,50.0
lub_9022,45.0,0.9,50.0
lub_9024,45.0,0.9,50.0
lub_9080,270.0,0.9,300.0
lub_9109,180.0,0.9,200.0
lub_9137,180.0,0.9,200.0
lub_9150,90.0,0.9,100.0
lub_9158,90.0,0.9,100.0
lub_9173,180.0,0.9,200.0
lub_9179,45.0,0.9,50.0
lub_9186,22.5,0.9,25.0
lub_9190,22.5,0.9,25.0
lub_9214,22.5,0.9,25.0
lub_9232,22.5,0.9,25.0
lub_9238,180.0,0.9,200.0
lub_9240,90.0,0.9,100.0
lub_9244,90.0,0.9,100.0
lub_9248,45.0,0.9,50.0
lub_9253,45.0,0.9,50.0
lub_9263,90.0,0.9,100.0
lub_9269,900.0,0.9,1000.0
lub_9270,90.0,0.9,100.0
lub_9274,90.0,0.9,100.0
lub_9283,90.0,0.9,100.0
lub_9287,45.0,0.9,50.0
lub_9288,90.0,0.9,100.0
lub_9289,225.0,0.9,250.0
lub_9300,90.0,0.9,100.0
lub_9304,180.0,0.9,200.0
lub_9306,90.0,0.9,100.0
lub_9317,180.0,0.9,200.0
lub_9321,90.0,0.9,100.0
lub_9327,90.0,0.9,100.0
lub_9328,180.0,0.9,200.0
lub_9330,90.0,0.9,100.0
lub_9331,315.0,0.9,350.0
lub_9341,135.0,0.9,150.0
lub_9343,90.0,0.9,100.0
lub_9348,450.0,0.9,500.0
lub_9351,90.0,0.9,100.0
lub_9380,90.0,0.9,100.0
lub_9384,90.0,0.9,100.0
lub_9385,90.0,0.9,100.0
lub_9387,135.0,0.9,150.0
lub_9393,90.0,0.9,100.0
lub_9399,45.0,0.9,50.0
lub_9404,90.0,0.9,100.0
lub_9406,90.0,0.9,100.0
lub_9407,180.0,0.9,200.0
lub_9417,135.0,0.9,150.0
lub_9421,45.0,0.9,50.0
lub_9422,90.0,0.9,100.0
lub_9423,180.0,0.9,200.0
lub_9424,90.0,0.9,100.0
lub_9428,90.0,0.9,100.0
lub_9431,180.0,0.9,200.0
lub_9433,225.0,0.9,250.0
lub_9440,90.0,0.9,100.0
lub_9445,90.0,0.9,100.0
lub_9450,90.0,0.9,100.0
lub_9452,90.0,0.9,100.0
lub_9462,90.0,0.9,100.0
lub_9465,90.0,0.9,100.0
lub_9467,90.0,0.9,100.0
lub_9473,45.0,0.9,50.0
lub_9477,90.0,0.9,100.0
