ENS_kWh
-205976.3371754922
5542.783106043935
-77288.54692641646
-363.70816431194544
-15638.9688247405
-354539.5782451108
-341149.923228465
312758.68720155954
-480956.7659318559
280997.6252662279
-151330.16493796185
198069.647811044
-26790.304067831486
-73265.63660532609
-45107.61521816626
281703.229538776
-216868.41669832543
166607.23435923085
24494.254458535463
60945.54161736742
166303.7928832583
76554.9981806688
170385.44462936372
-41159.16781066358
292134.14468199015
248745.04030927643
-252788.56558085606
-34910.50858905539
5176.441172685474
144099.73625732213
-96089.00883308426
256384.5633003898
195153.63560931757
70670.18211751431
71247.5549316667
6277.232163950801
141433.9220708236
-144832.44244804233
-25985.114907246083
-22578.55924755335
108111.62484747916
186893.91530176625
-83053.79845681787
-131545.88884596154
127455.15009878948
98431.17974134162
37561.55544863641
-102350.9008189626
192191.2576692216
-94246.45670717955
-39511.15750061348
-118099.71886628494
87510.29874288663
-196762.93745151535
-517192.9840163402
38944.38839292899
194776.75342342257
-38901.94521666691
26412.948899704963
18291.492891691625
-151371.22603339702
-6522.999470159411
-5768.786180455238
246185.2039772831
-214840.56900488213
-48971.771721269935
-13330.693508889526
117969.63438201696
-45430.92164730653
13014.785290103406
67939.58821564168
85994.81632799283
409610.588673573
57103.42859023437
68746.0773980543
-110262.85248541832
89279.88987965137
280595.6232120134
-13509.562581147999
-75580.93140590563
-159896.57510858774
117706.25122993067
-60169.54780333117
102565.74386421964
303550.9448252544
-153444.35456455126
-226793.33373565972
-1896.4391341097653
-235300.6106402129
-79175.54530167952
-23716.08496446535
-227796.37161784247
-226137.33355855197
114759.60899586976
235314.0446217209
53845.81599363685
-293926.3466339484
