Energy_kWh
25453223.66551127
25659200.00268676
25447680.882405225
25530512.212437686
25453587.37367558
25468862.63433601
25807763.24375638
25794373.588739734
25140464.97830971
25934180.431443125
25172226.04024504
25604553.83044923
25255154.017700225
25480013.9695791
25526489.302116595
25498331.280729435
25171520.435972493
25670092.082209595
25286616.43115204
25428729.411052734
25392278.1238939
25286919.87262801
25376668.6673306
25282838.220881905
25494382.833321933
25161089.52082928
25204478.625201993
25706012.231092125
25488134.174100325
25448047.224338584
25309123.929253947
25549312.674344353
25196839.10221088
25258070.02990195
25382553.483393755
25381976.110579602
25446946.43334732
25311789.743440446
25598056.10795931
25479208.780418515
25475802.224758822
25345112.04066379
25266329.750209503
25536277.463968087
25584769.55435723
25325768.51541248
25354792.485769928
25415662.110062633
25555574.56633023
25261032.407842048
25547470.12221845
25492734.823011883
25571323.384377554
25365713.366768382
25649986.602962784
25970416.64952761
25414279.27711834
25258446.912087847
25492125.610727936
25426810.716611564
25434932.172619577
25604594.891544666
25459746.66498143
25458992.451691724
25207038.461533986
25668064.23451615
25502195.43723254
25466554.35902016
25335254.031129252
25498654.587158576
25440208.880221166
25385284.077295627
25367228.849183276
25043613.076837696
25396120.236921035
25384477.588113215
25563486.517996687
25363943.775631618
25172628.042299256
25466733.228092417
25528804.596917175
25613120.240619857
25335517.41428134
25513393.2133146
25350657.92164705
25149672.720686015
25606668.02007582
25680016.99924693
25455120.10464538
25688524.276151482
25532399.21081295
25476939.750475734
25681020.03712911
25679360.99906982
25338464.0565154
25217909.62088955
25399377.849517632
25747150.012145218
