Component,failure_rate_lambda
Transformer.lub_9024,0.002985
Transformer.lub_9080,0.002985
Transformer.lub_9109,0.002985
Transformer.lub_9137,0.002985
Transformer.lub_9150,0.002985
Transformer.lub_9158,0.002985
Transformer.lub_9173,0.002985
Transformer.lub_9179,0.002985
Transformer.lub_9186,0.002985
Transformer.lub_9190,0.002985
Transformer.lub_9214,0.002985
Transformer.lub_9232,0.002985
Transformer.lub_9238,0.002985
Transformer.lub_9240,0.002985
Transformer.lub_9244,0.002985
Transformer.lub_9248,0.002985
Transformer.lub_9253,0.002985
Transformer.lub_9263,0.002985
Transformer.lub_9269,0.002985
Transformer.lub_9270,0.002985
Transformer.lub_9274,0.002985
Transformer.lub_9283,0.002985
Transformer.lub_9287,0.002985
Transformer.lub_9288,0.002985
Transformer.lub_9289,0.002985
Transformer.lub_9300,0.002985
Transformer.lub_9304,0.002985
Transformer.lub_9306,0.002985
Transformer.lub_9317,0.002985
Transformer.lub_9321,0.002985
Transformer.lub_9327,0.002985
Transformer.lub_9328,0.002985
Transformer.lub_9330,0.002985
Transformer.lub_9331,0.002985
Transformer.lub_9341,0.002985
Transformer.lub_9343,0.002985
Transformer.lub_9348,0.002985
Transformer.lub_9351,0.002985
Transformer.lub_9380,0.002985
Transformer.lub_9384,0.002985
Transformer.lub_9385,0.002985
Transformer.lub_9387,0.002985
Transformer.lub_9393,0.002985
Transformer.lub_9498,0.002985
Transformer.lub_9399,0.002985
Transformer.lub_9404,0.002985
Transformer.lub_9406,0.002985
Transformer.lub_9407,0.002985
Transformer.lub_9417,0.002985
Transformer.lub_9421,0.002985
Transformer.lub_9422,0.002985
Transformer.lub_9423,0.002985
Transformer.lub_9424,0.002985
Transformer.lub_9428,0.002985
Transformer.lub_9431,0.002985
Transformer.lub_9433,0.002985
Transformer.lub_9440,0.002985
Transformer.lub_9445,0.002985
Transformer.lub_9450,0.002985
Transformer.lub_9452,0.002985
Transformer.lub_9462,0.002985
Transformer.lub_9465,0.002985
Transformer.lub_9467,0.002985
Transformer.lub_9473,0.002985
Transformer.lub_9477,0.002985
Transformer.lub_9482,0.002985
Transformer.lub_9484,0.002985
Transformer.lub_9487,0.002985
Transformer.lub_9490,0.002985
Transformer.lub_9494,0.002985
Transformer.lub_9496,0.002985
Transformer.lub_9497,0.002985
Transformer.new_10103,0.002985
Transformer.new_10113,0.002985
Transformer.new_10126,0.002985
Transformer.new_10136,0.002985
Transformer.new_10139,0.002985
Transformer.new_10140,0.002985
Transformer.new_10142,0.002985
Transformer.new_10147,0.002985
Transformer.new_10166,0.002985
Transformer.new_10178,0.002985
Transformer.new_10183,0.002985
Transformer.new_10190,0.002985
Transformer.new_10197,0.002985
Transformer.new_10223,0.002985
Transformer.new_10224,0.002985
Transformer.new_10229,0.002985
Transformer.new_10237,0.002985
Transformer.new_10240,0.002985
Transformer.new_10241,0.002985
Transformer.new_10249,0.002985
Transformer.new_10250,0.002985
Transformer.san_11002,0.002985
Transformer.san_11003,0.002985
Transformer.san_11022,0.002985
Transformer.san_11026,0.002985
Transformer.san_11041,0.002985
Transformer.san_11047,0.002985
Transformer.san_11049,0.002985
Transformer.san_11054,0.002985
Transformer.san_11062,0.002985
Transformer.san_11185,0.002985
Transformer.san_11103,0.002985
Transformer.san_11110,0.002985
Transformer.san_11112,0.002985
Transformer.san_11118,0.002985
Transformer.san_11121,0.002985
Transformer.san_11123,0.002985
Transformer.san_11131,0.002985
Transformer.san_11152,0.002985
Transformer.san_11163,0.002985
Transformer.san_11171,0.002985
Transformer.san_11178,0.002985
Transformer.san_11182,0.002985
Load.bag_1037,0.001
Load.bag_1039,0.001
Load.bag_1045,0.001
Load.bag_1055,0.001
Load.bag_1066,0.001
Load.bag_1076,0.001
Load.bag_1078,0.001
Load.bag_1085,0.001
Load.bag_1093,0.001
Load.bag_1095,0.001
Load.bag_1102,0.001
Load.bag_1113,0.001
Load.bag_1115,0.001
Load.bag_1117,0.001
Load.bag_1127,0.001
Load.bag_1130,0.001
Load.bag_1139,0.001
Load.bag_1146,0.001
Load.bag_1148,0.001
Load.bag_1156,0.001
Load.bag_1178,0.001
Load.bag_1185,0.001
Load.bag_1191,0.001
Load.bag_1209,0.001
Load.bag_1211,0.001
Load.bag_1214,0.001
Load.bag_1215,0.001
Load.bag_1216,0.001
Load.ban_2037,0.001
Load.ban_2048,0.001
Load.ban_2051,0.001
Load.ban_2056,0.001
Load.ban_2059,0.001
Load.ban_2064,0.001
Load.ban_2070,0.001
Load.ban_2081,0.001
Load.ban_2087,0.001
Load.ban_2098,0.001
Load.ban_2111,0.001
Load.ban_2121,0.001
Load.ban_2140,0.001
Load.ban_2146,0.001
Load.ban_2147,0.001
Load.ban_2152,0.001
Load.ban_2155,0.001
Load.ban_2162,0.001
Load.ban_2165,0.001
Load.ban_2166,0.001
Load.ban_2175,0.001
Load.ban_2177,0.001
Load.ban_2184,0.001
Load.ban_2185,0.001
Load.dho_3001,0.001
Load.dho_3026,0.001
Load.dho_3039,0.001
Load.dho_3045,0.001
Load.dho_3051,0.001
Load.dho_3069,0.001
Load.dho_3095,0.001
Load.dho_3097,0.001
Load.dho_3101,0.001
Load.dho_3107,0.001
Load.dho_3118,0.001
Load.dho_3119,0.001
Load.dho_3122,0.001
Load.dho_3133,0.001
Load.dho_3137,0.001
Load.dho_3151,0.001
Load.dho_3163,0.001
Load.dho_3173,0.001
